권역,가게명,음주 종류,리뷰 수,가격대
서촌,심산애,"전통,민속주점",17,30000
서촌,술익는 서촌주막&양조장,"전통,민속주점",11,20000
서촌,서촌 서른즈음에,"맥주,호프",44,30000
서촌,누룩나무,"전통,민속주점",44,20000
서촌,유목민노마드,요리주점,15,50000
서촌,Cozy25,"맥주,호프",7,20000
서촌,달막달막,요리주점,35,20000
서촌,서촌주차장,바(BAR),6,50000
서촌,동해남부선,요리주점,29,50000
서촌,경성주막1929 경복궁역점,이자카야,6,30000
서촌,서촌오뎅,요리주점,6,20000
서촌,Floor For Fiction,바(BAR),25,10000
서촌,적선동술집,요리주점,33,50000
서촌,하노다찌바쉐프,바(BAR),5,30000
서촌,디셈버,바(BAR),3,50000
서촌,느름,"전통,민속주점",1,30000
서촌,자주마주,요리주점,7,30000
서촌,아주로,요리주점,2,30000
서촌,백석 흰 당나귀,와인,2,20000
서촌,기와탭룸,"맥주,호프",266,20000
서촌,독립맥주공장,"맥주,호프",86,30000
서촌,주반,요리주점,129,70000
서촌,서촌호프광장,"맥주,호프",0,30000
서촌,봉구비어 경복궁역점,"맥주,호프",0,20000
서촌,비어셰프,"맥주,호프",251,50000
서촌,더그릭,와인,9,70000
서촌,유진주막,"전통,민속주점",3,30000
서촌,우리선희,바(BAR),6,30000
서촌,예원,"전통,민속주점",2,30000
서촌,수제맥주광장,"맥주,호프",1,20000
서촌,몰림,"맥주,호프",31,10000
서촌,산체스 막걸리,"전통,민속주점",108,20000
서촌,장터주점 한국민속촌 인사동점,"전통,민속주점",18,20000
서촌,정사장,요리주점,138,20000
서촌,심퍼티쿠시 경복궁점,와인,103,70000
서촌,내자살롱,요리주점,241,30000
서촌,이치고이치에,이자카야,6,40000
서촌,코블러,요리주점,102,30000
서촌,핸드앤몰트 탭룸,"맥주,호프",127,50000
서촌,봉에비앙,와인,0,50000
서촌,한국맥주,"맥주,호프",0,20000
서촌,텐더바,요리주점,57,30000
서촌,루트,바(BAR),12,50000
서촌,동감,이자카야,15,70000
서촌,슬로우핸드,바(BAR),16,50000
서촌,어비스,바(BAR),22,70000
서촌,이자카야나나,이자카야,10,50000
서촌,오무사,바(BAR),250,70000
서촌,대장금,요리주점,121,50000
서촌,이모네포차,포장마차,21,50000
서촌,달식당,"맥주,호프",97,10000
서촌,와바 광화문직영점,"맥주,호프",8,30000
서촌,광화문살롱,"맥주,호프",22,20000
서촌,사토루,이자카야,20,50000
서촌,도취,요리주점,87,20000
서촌,에노테카친친,와인,107,50000
서촌,신라스테이광화문 바,바(BAR),18,50000
서촌,모로미 종각역점,이자카야,51,20000
서촌,교동전선생 광화문점,"전통,민속주점",52,20000
서촌,생활맥주 종로구청점,"맥주,호프",48,50000
서촌,브릭,와인,51,50000
서촌,거성호프,"맥주,호프",34,20000
서촌,열차집,"전통,민속주점",91,20000
서촌,핀란드프로젝트,와인,197,70000
서촌,그란베베도라,와인,16,70000
서촌,서울회관,요리주점,5,20000
서촌,하이로비어,"맥주,호프",9,20000
서촌,뮤즈,바(BAR),3,50000
서촌,탭퍼블릭 광화문그랑서울점,요리주점,534,30000
서촌,상인정신,요리주점,128,50000
서촌,불러도,요리주점,2,20000
서촌,아지트프롬코너비,"맥주,호프",22,20000
서촌,생활맥주 광화문점,"맥주,호프",67,20000
서촌,치어리더라이브호프,"맥주,호프",10,20000
서촌,비어할레,"맥주,호프",9,20000
서촌,월향,"전통,민속주점",348,20000
서촌,광장맥주,"맥주,호프",11,20000
서촌,쌍쌍 맥주전성시대,"맥주,호프",50,20000
서촌,옥토버훼스트 종로점,"맥주,호프",236,20000
서촌,광화문해물,요리주점,72,70000
서촌,포시즌스호텔서울 찰스H,바(BAR),178,100000
서촌,서른즈음에,"맥주,호프",5,10000
서촌,한남동그집 광화문점,요리주점,5,30000
서촌,고래와,이자카야,43,50000
서촌,포시즌스호텔서울 보칼리노 와인바,바(BAR),86,100000
서촌,모모,이자카야,15,50000
서촌,거성호프,"맥주,호프",21,20000
서촌,정통호프,"맥주,호프",11,20000
서촌,Vintage0422,와인,15,70000
서촌,카오리,이자카야,13,50000
서촌,헌터스문 종각점,"맥주,호프",24,50000
서촌,김봉남포장마차 종로르메이에르점,포장마차,8,3000
서촌,송재헌,와인,60,70000
서촌,삼청동과수원,바(BAR),106,10000
서촌,생활맥주 서대문경희궁자이점,"맥주,호프",66,20000
서촌,이자카야나무 종각점,이자카야,216,20000
서촌,비어퐁,요리주점,11,30000
서촌,라도스트,"맥주,호프",39,20000
서촌,백세주마을 종각점,"전통,민속주점",153,50000
서촌,더부스 광화문점,"맥주,호프",96,50000
서촌,종로주막,요리주점,58,30000
서촌,동아리,이자카야,17,70000
서촌,와라와라 종각2호점,요리주점,96,30000
서촌,국자싸롱,"맥주,호프",6,20000
서촌,이자카야 아이와,이자카야,23,20000
서촌,임창정의소주한잔 서울종로점,요리주점,15,20000
서촌,브루스톤 탭하우스,"맥주,호프",7,10000
서촌,남오토코 서대문점,이자카야,8,30000
서촌,웅포차,요리주점,7,70000
서촌,JS텍사스바,"맥주,호프",13,20000
서촌,와인주막차차 광화문점,와인,124,50000
서촌,켄켄 시청점,이자카야,70,50000
서촌,아이러브펍,"맥주,호프",6,20000
서촌,도리방,요리주점,40,30000
서촌,태성골뱅이신사,"맥주,호프",113,70000
서촌,브루어리304,"맥주,호프",33,30000
서촌,라이언위스키,요리주점,1,100000
서촌,국민맥주,"맥주,호프",17,30000
서촌,크래프트 맥코이,"맥주,호프",12,20000
서촌,비어할레 을지점,"맥주,호프",74,50000
서촌,아사칸 무교점,"맥주,호프",13,30000
서촌,멜로디후르츠 무교동점,요리주점,2,30000
서촌,이자카야 아이,이자카야,10,50000
서촌,아사도르 누하,요리주점,102,50000
서촌,텅댄스,요리주점,76,50000
